British (English) vernacular name,AviList international English name,Scientific name,Category,Codes,† BBRC species,‡ BBRC subspecies,SEQ
Moussier's Redstart,,Phoenicurus moussieri,A,†,,,5260
Redstart,Common Redstart,Phoenicurus phoenicurus,AF,,,,5270
Rock Thrush,Common Rock Thrush,Monticola saxatilis,A,†,,,5280
Blue Rock Thrush,,Monticola solitarius,AE,†,,,5290
Whinchat,,Saxicola rubetra,AF,,,,5300
Siberian Stonechat,,Saxicola maurus,A,†,,,5310
Stonechat,European Stonechat,Saxicola rubicola,A,,,,5320
Desert Wheatear,,Oenanthe deserti,A,†,,,5330
Western Black-eared Wheatear,,Oenanthe hispanica,A,†,,,5340
Pied Wheatear,,Oenanthe pleschanka,A,†,,,5350
Eastern Black-eared Wheatear,,Oenanthe melanoleuca,A,†,,,5360
Wheatear,Northern Wheatear,Oenanthe oenanthe,AF,,,,5370
Isabelline Wheatear,,Oenanthe isabellina,A,†,,,5380
White-crowned Black Wheatear,White-crowned Wheatear,Oenanthe leucopyga,A,†,,,5390
Alpine Accentor,,Prunella collaris,A,†,,,5400
Dunnock,,Prunella modularis,AF,,,,5410
Siberian Accentor,,Prunella montanella,A,†,,,5420
Rock Sparrow,,Petronia petronia,A,†,,,5430
Tree Sparrow,Eurasian Tree Sparrow,Passer montanus,AF,,,,5440
Spanish Sparrow,,Passer hispaniolensis,A,†,,,5450
House Sparrow,,Passer domesticus,AF,,,,5460
Grey Wagtail,,Motacilla cinerea,AF,,,,5470
Yellow Wagtail,Western Yellow Wagtail,Motacilla flava,AF,‡,,,5480
Citrine Wagtail,,Motacilla citreola,A,,,,5490
Eastern Yellow Wagtail,,Motacilla tschutschensis,A,†,,,5500
Pied Wagtail,White Wagtail,Motacilla alba,AF,‡,,,5510
Blyth's Pipit,,Anthus godlewskii,A,†,,,5520
Tawny Pipit,,Anthus campestris,A,†,,,5530
Richard's Pipit,,Anthus richardi,AF,,,,5540
Pechora Pipit,,Anthus gustavi,A,†,,,5550
Tree Pipit,,Anthus trivialis,A,,,,5560
Olive-backed Pipit,,Anthus hodgsoni,A,,,,5570
Red-throated Pipit,,Anthus cervinus,A,†,,,5580
American Pipit,,Anthus rubescens,A,†,,,5590
Meadow Pipit,,Anthus pratensis,AF,,,,5600
Rock Pipit,European Rock Pipit,Anthus petrosus,AF,,,,5610
Water Pipit,,Anthus spinoletta,AF,,,,5620
